,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,100,PF,1571686935,80,-23.12,-134.97,70.9,21.99
1,airai,14,TL,1571687477,26,-8.93,125.41,65.8,4.81
2,lakes entrance,40,US,1571687478,53,37.5,-83.94,77.0,17.22
3,cape town,100,CL,1571687478,34,-36.41,-71.9,68.0,16.11
4,guerrero negro,0,AR,1571687479,17,-24.19,-65.45,84.2,6.93
5,upernavik,0,GL,1571687480,53,72.79,-56.15,10.67,8.37
6,mataura,91,NZ,1571687480,89,-46.19,168.86,43.0,8.01
7,monduli,20,TZ,1571687481,64,-3.3,36.45,68.0,9.17
8,sal rei,20,SY,1571687481,53,36.63,38.46,66.97,7.56
9,grand gaube,90,FR,1571687482,81,48.39,5.49,53.6,2.24
10,hobart,20,AU,1571687486,87,-42.88,147.33,45.0,1.12
11,tocopilla,0,CL,1571687486,18,-22.09,-70.2,69.91,7.45
12,busselton,6,AU,1571687486,71,-33.64,115.35,60.01,5.84
13,pevek,51,RU,1571687487,89,69.7,170.27,21.83,5.64
14,hithadhoo,6,MV,1571687487,77,-0.6,73.08,80.73,10.74
15,lebu,40,ET,1571687488,62,8.96,38.73,59.0,11.41
16,vaini,99,IN,1571687488,98,15.34,74.49,68.63,0.85
17,ushuaia,20,AR,1571687489,87,-54.81,-68.31,59.0,23.04
18,tuktoyaktuk,20,CA,1571687489,85,69.44,-133.03,12.2,8.05
19,new norfolk,40,LR,1571687490,94,6.65,-10.59,78.8,2.84
20,vardo,1,US,1571687490,59,39.62,-77.74,69.01,7.78
21,katsuura,75,JP,1571687491,82,33.93,134.5,66.2,5.82
22,geraldton,90,CA,1571687491,100,49.72,-86.95,42.8,11.41
23,griffith,0,AU,1571687492,57,-34.29,146.06,51.8,5.82
24,cabo san lucas,20,ES,1571687493,87,43.18,-5.8,53.01,4.7
25,atuona,0,PF,1571687493,77,-9.8,-139.03,78.75,14.05
26,arraial do cabo,90,BR,1571687497,68,-22.84,-46.65,75.99,9.17
27,port elizabeth,40,CD,1571687498,70,-7.04,29.76,79.59,6.13
28,lobito,89,AO,1571687499,82,-12.35,13.55,74.39,5.12
29,nchelenge,1,ZM,1571687500,64,-9.35,28.74,78.87,8.9
30,plettenberg bay,20,DE,1571687500,81,51.21,7.87,57.0,8.05
31,punta arenas,20,PH,1571687501,83,14.18,121.12,80.01,3.36
32,yuanping,95,CN,1571687502,44,38.72,112.71,46.51,1.1
33,bluff,0,AU,1571687502,68,-23.58,149.07,65.43,14.94
34,kingsburg,1,US,1571687503,37,36.51,-119.55,75.99,4.7
35,yellowknife,75,CA,1571687504,68,62.45,-114.38,27.0,8.05
36,carnarvon,25,ZA,1571687504,53,-30.97,22.13,50.38,22.3
37,flinders,0,AU,1571687505,93,-34.58,150.85,55.0,8.05
38,puerto colombia,20,AR,1571687507,20,-51.62,-69.23,64.4,14.99
39,ilulissat,20,GL,1571687507,53,69.22,-51.1,21.2,11.41
40,tasiilaq,75,GL,1571687508,86,65.61,-37.64,28.4,2.24
41,longyearbyen,40,NO,1571687509,61,78.22,15.63,17.6,16.11
42,kaitangata,61,NZ,1571687509,73,-46.28,169.85,47.52,21.18
43,butaritari,28,KI,1571687510,77,3.07,172.79,83.55,14.58
44,ponta do sol,100,BR,1571687511,93,-0.53,-65.05,79.61,2.66
45,hermanus,51,ZA,1571687511,74,-34.42,19.24,54.0,21.97
46,fortuna,40,US,1571687513,82,40.6,-124.16,66.99,11.41
47,castro,1,CL,1571687514,60,-42.48,-73.76,55.4,9.17
48,puerto escondido,20,AR,1571687515,20,-51.62,-69.23,64.4,14.99
49,royan,33,FR,1571687516,87,45.62,-1.03,53.6,1.12
50,torbay,75,CA,1571687516,70,47.66,-52.73,50.0,16.11
51,fuerte olimpo,0,PH,1571687517,88,17.54,120.36,71.04,4.34
52,barrow,5,AR,1571687518,69,-38.31,-60.23,59.34,5.91
53,langgons,20,DE,1571687519,87,50.5,8.67,57.99,5.82
54,marsh harbour,75,GB,1571687520,81,53.65,-1.81,48.99,3.36
55,melilla,40,EC,1571687521,69,-0.8,-80.23,78.8,12.75
56,alugan,99,PH,1571687523,83,12.22,125.48,78.62,5.48
57,dikson,100,RU,1571687524,92,73.51,80.55,27.36,18.86
58,cherskiy,54,RU,1571687524,91,68.75,161.3,-0.42,6.35
59,morondava,0,MG,1571687526,79,-20.3,44.28,75.51,3.96
60,cianorte,75,BR,1571687527,94,-23.66,-52.61,68.0,5.82
61,zambezi,23,ZM,1571687527,26,-13.55,23.12,75.02,2.01
62,jamestown,92,AU,1571687528,36,-33.21,138.6,59.36,9.62
63,lavrentiya,100,RU,1571687529,84,65.58,-170.99,32.56,13.62
64,neuquen,0,AR,1571687530,17,-38.95,-68.06,66.2,14.99
65,pinega,100,RU,1571687530,72,64.7,43.39,30.34,9.98
66,taoudenni,44,ML,1571687531,16,22.68,-3.98,93.29,13.31
67,norman wells,1,US,1571687532,18,35.22,-97.44,69.8,17.22
68,sao joao da barra,92,IN,1571687532,92,20.51,76.21,68.5,4.52
69,kapaa,20,US,1571687533,74,22.08,-159.32,84.2,9.17
70,rawson,75,AR,1571687534,50,-43.3,-65.11,57.2,25.28
71,kurumkan,21,RU,1571687534,78,54.33,110.32,10.27,4.63
72,sarkand,0,KZ,1571687535,83,45.41,79.91,13.12,1.23
73,kodiak,90,US,1571687535,54,39.95,-94.76,55.0,19.46
74,ambilobe,100,MG,1571687536,79,-13.19,49.05,75.02,5.3
75,yashkul,0,RU,1571687536,71,46.17,45.34,53.28,8.41
76,xuddur,94,SO,1571687537,72,4.12,43.89,77.68,6.29
77,maun,0,BW,1571687538,12,-19.99,23.42,84.2,2.24
78,petropavlovsk-kamchatskiy,100,RU,1571687538,63,53.05,158.65,30.2,8.95
79,avarua,0,CK,1571687539,83,-21.21,-159.78,77.0,12.75
80,kavieng,100,PG,1571687540,74,-2.57,150.8,83.14,6.02
81,calella,40,ES,1571687540,93,41.62,2.67,64.99,2.24
82,alofi,40,NU,1571687544,88,-19.06,-169.92,78.8,5.82
83,cidreira,100,BR,1571687545,81,-30.17,-50.22,62.98,8.57
84,srednekolymsk,87,RU,1571687547,96,67.46,153.71,4.21,5.73
85,puerto ayora,20,AR,1571687548,20,-51.62,-69.23,64.4,14.99
86,merrill,1,US,1571687548,50,42.03,-121.6,57.99,3.36
87,mahebourg,40,MU,1571687549,83,-20.41,57.7,75.2,11.41
88,emerald,52,AU,1571687553,77,-23.53,148.16,66.2,12.75
89,teeli,0,RU,1571687554,62,51.01,90.2,8.82,5.14
90,cocobeach,20,GA,1571687555,83,1.01,9.58,78.8,3.36
91,codrington,50,AU,1571687556,93,-28.95,153.24,57.0,3.36
92,laguna,40,BZ,1571687556,70,16.17,-88.94,91.4,6.93
93,saurimo,100,AO,1571687556,86,-9.66,20.4,66.33,3.89
94,tiksi,100,RU,1571687558,82,71.64,128.87,7.65,8.03
95,bilibino,3,RU,1571687558,98,68.06,166.44,-5.14,0.65
96,ribeira grande,52,PT,1571687559,87,41.76,-8.56,57.0,5.82
97,bonavista,54,CA,1571687560,83,48.65,-53.11,46.0,8.01
98,kitami,100,JP,1571687560,87,43.8,143.9,44.85,6.24
99,hambantota,100,LK,1571687561,77,6.12,81.12,79.74,16.62
100,nova olimpia,100,BR,1571687561,61,-5.53,-46.7,83.19,4.07
101,saint-philippe,1,CA,1571687561,55,45.36,-73.48,61.0,5.82
102,jaciara,96,BR,1571687562,84,-15.95,-54.98,72.79,9.55
103,opuwo,0,NA,1571687563,15,-18.06,13.84,79.3,12.53
104,bosaso,23,SO,1571687563,66,11.28,49.18,80.62,4.56
105,albany,20,US,1571687564,71,42.65,-73.75,64.99,2.59
106,port-gentil,20,GA,1571687564,88,-0.72,8.78,78.8,3.36
107,cervo,40,BR,1571687565,64,-22.19,-46.24,71.6,5.32
108,sao joao da ponte,92,IN,1571687566,92,20.51,76.21,68.5,4.52
109,labuhan,100,ID,1571687567,82,-2.54,115.51,71.01,1.54
110,port lincoln,93,CD,1571687567,75,-7.04,29.76,78.75,5.73
111,launceston,0,AU,1571687568,100,-41.43,147.14,46.0,5.82
112,atar,0,MR,1571687568,25,20.52,-13.05,83.84,8.34
113,fort myers beach,55,IN,1571687569,96,17.96,79.61,70.86,4.43
114,coquimbo,100,CL,1571687570,59,-29.95,-71.34,64.4,14.99
115,sorsk,76,RU,1571687571,89,54.0,90.25,13.24,3.15
116,bayir,0,TR,1571687571,49,37.27,28.22,69.8,5.82
117,jiuquan,0,CN,1571687572,33,39.73,98.49,40.96,2.19
118,marawi,24,PH,1571687572,89,8.0,124.29,77.0,7.0
119,hilo,90,US,1571687573,78,19.71,-155.08,78.8,6.93
120,egvekinot,100,RU,1571687573,90,66.32,-179.17,17.06,9.48
121,aswan,100,EG,1571687574,19,24.09,32.9,86.0,5.82
122,jawhar,84,IN,1571687574,92,19.91,73.23,73.72,7.83
123,kjollefjord,40,NO,1571687574,80,70.95,27.35,32.0,13.87
124,georgetown,75,GY,1571687575,94,6.8,-58.16,86.0,4.7
125,gizo,0,IL,1571687576,73,31.8,34.94,73.99,3.36
126,kruisfontein,100,ZA,1571687576,69,-34.0,24.73,51.66,6.6
127,hasaki,75,JP,1571687576,100,35.73,140.83,59.0,16.11
128,novobirilyussy,100,RU,1571687577,72,56.95,90.69,22.39,7.72
129,qaanaaq,0,GL,1571687577,39,77.48,-69.36,5.29,11.7
130,huilong,100,CN,1571687577,95,31.15,106.5,60.57,4.34
131,homer,90,US,1571687579,93,59.64,-151.54,42.01,6.93
132,sheridan,75,US,1571687580,14,39.65,-105.03,57.2,8.05
133,aitape,100,PG,1571687580,72,-3.15,142.36,81.77,8.46
134,sonegaon,40,IN,1571687580,88,21.19,79.31,75.2,2.24
135,bredasdorp,95,ZA,1571687581,50,-34.53,20.04,55.4,5.82
136,barbalha,20,BR,1571687583,32,-7.31,-39.3,95.0,9.17
137,najran,0,SA,1571687584,23,17.54,44.22,71.6,3.62
138,kutum,75,SD,1571687584,42,14.2,24.66,80.15,3.15
139,namibe,98,AO,1571687585,82,-15.19,12.15,69.37,2.19
140,comodoro rivadavia,100,BR,1571687586,96,-13.66,-59.79,71.35,5.01
141,balaguer,100,ES,1571687587,93,41.79,0.81,55.0,4.7
142,khatanga,96,RU,1571687587,92,71.98,102.47,14.97,14.65
143,chuy,100,UY,1571687588,86,-33.69,-53.46,54.93,5.21
144,pueblo bello,1,US,1571687589,14,38.25,-104.61,59.0,36.91
145,praia da vitoria,75,BR,1571687590,51,-20.25,-43.81,82.4,5.82
146,yatsushiro,33,JP,1571687590,81,32.52,130.76,52.66,2.64
147,kabompo,0,ZM,1571687591,25,-13.6,24.21,69.98,0.89
148,lufilufi,40,WS,1571687592,79,-13.87,-171.6,84.2,5.82
149,artyom,0,RU,1571687593,92,43.36,132.19,30.2,2.95
150,pasighat,99,IN,1571687594,96,28.06,95.33,67.86,2.24
151,sinnamary,53,GF,1571687595,72,5.38,-52.96,81.73,9.78
152,corumba,75,BR,1571687596,69,-19.0,-57.65,89.6,11.41
153,ilhabela,100,BR,1571687596,79,-23.78,-45.36,66.65,11.83
154,souillac,0,FR,1571687597,87,45.6,-0.6,55.0,1.12
155,east london,100,UG,1571687598,93,3.43,31.7,68.65,2.21
156,impfondo,98,CD,1571687600,95,1.62,18.06,71.2,1.61
157,dubovskoye,0,RU,1571687601,66,47.41,42.76,52.12,5.06
